Package,obj_L,obj_Q,obj_SDP,con_Bounds,con_L,con_Q,con_SOC,con_SDP,con_EXP,con_POW,type_B,type_I,type_C,Multi-Objective,Convex,License,url
boot,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,,
cccp,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,,
clpAPI,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,EPL,https://github.com/cran/clpAPI
CLSOCP,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,,
coneproj,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,,
Dykstra,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,,
ECOSolveR,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,,
glpkAPI,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,,
gurobi,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,Proprietary,https://www.gurobi.com/
kernlab,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,,
linprog,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,,
localsolver,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,Proprietary,https://www.localsolver.com/
LowRankQP,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,,
lpSolve,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,,
lpSolveAPI,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,,
mosek,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,Proprietary,https://www.mosek.com/
osqp,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,,
parma,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,,
qpmadr,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,,
QPmin,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,,
quadprog,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,,
rcdd,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,,
Rcplex,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,Proprietary,
Rcsdp,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,,
Rdsdp,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,,
Rglpk,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,,
ROI.plugin.neos,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,,
ROI.plugin.qpoases,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,,
Rsymphony,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,,
scs,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,,
sdpt3r,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,,
